"dato","Regionsnavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-06-16,Hovedstaden,K,475576,265486,465403,264901,10173,585
2021-06-16,Hovedstaden,M,426496,202394,414740,201391,11756,1003
2021-06-16,Midtjylland,K,328140,201601,321433,197273,6707,4328
2021-06-16,Midtjylland,M,292435,149307,285030,144762,7405,4545
2021-06-16,Nordjylland,K,148256,93494,145829,92330,2427,1164
2021-06-16,Nordjylland,M,131932,69155,129327,68049,2605,1106
2021-06-16,Sjælland,K,235814,134490,231155,133527,4659,963
2021-06-16,Sjælland,M,212157,101033,206916,100139,5241,894
2021-06-16,Syddanmark,K,310700,186067,306142,184128,4558,1939
2021-06-16,Syddanmark,M,276730,139188,271843,137096,4887,2092
