"Regionsnavn","Aldersgruppe","sex","Antal første vacc.","Antal faerdigvacc."
Hovedstaden,0-9,K,4,1
Hovedstaden,0-9,M,1,0
Hovedstaden,10-19,K,24044,596
Hovedstaden,10-19,M,23144,433
Hovedstaden,20-29,K,33493,14212
Hovedstaden,20-29,M,28542,10957
Hovedstaden,30-39,K,17778,15065
Hovedstaden,30-39,M,16467,14125
Hovedstaden,40-49,K,78007,19148
Hovedstaden,40-49,M,73598,9190
Hovedstaden,50-59,K,106488,23334
Hovedstaden,50-59,M,104755,12243
Hovedstaden,60-69,K,86825,66486
Hovedstaden,60-69,M,82131,59427
Hovedstaden,70-79,K,82251,80697
Hovedstaden,70-79,M,69112,67706
Hovedstaden,80-89,K,37754,37211
Hovedstaden,80-89,M,25446,25072
Hovedstaden,90+,K,8932,8736
Hovedstaden,90+,M,3300,3241
Midtjylland,0-9,K,0,0
Midtjylland,0-9,M,3,0
Midtjylland,10-19,K,12617,753
Midtjylland,10-19,M,11649,375
Midtjylland,20-29,K,13252,10529
Midtjylland,20-29,M,8064,6137
Midtjylland,30-39,K,12584,11307
Midtjylland,30-39,M,7588,6896
Midtjylland,40-49,K,37812,15896
Midtjylland,40-49,M,30713,6601
Midtjylland,50-59,K,79238,19755
Midtjylland,50-59,M,78501,7846
Midtjylland,60-69,K,72850,45382
Midtjylland,60-69,M,70929,38213
Midtjylland,70-79,K,64184,62845
Midtjylland,70-79,M,59734,58288
Midtjylland,80-89,K,28942,28600
Midtjylland,80-89,M,22291,22039
Midtjylland,90+,K,6661,6534
Midtjylland,90+,M,2963,2912
Nordjylland,0-9,K,1,0
Nordjylland,0-9,M,0,0
Nordjylland,10-19,K,3451,263
Nordjylland,10-19,M,3178,128
Nordjylland,20-29,K,5749,4257
Nordjylland,20-29,M,3701,2524
Nordjylland,30-39,K,5372,4969
Nordjylland,30-39,M,3008,2798
Nordjylland,40-49,K,14259,6809
Nordjylland,40-49,M,11127,2617
Nordjylland,50-59,K,34618,9092
Nordjylland,50-59,M,33887,3149
Nordjylland,60-69,K,35036,19347
Nordjylland,60-69,M,34071,15963
Nordjylland,70-79,K,31694,30925
Nordjylland,70-79,M,29933,29119
Nordjylland,80-89,K,14716,14529
Nordjylland,80-89,M,11454,11311
Nordjylland,90+,K,3360,3303
Nordjylland,90+,M,1573,1546
Sjælland,0-9,K,0,0
Sjælland,0-9,M,1,1
Sjælland,10-19,K,9973,365
Sjælland,10-19,M,9933,238
Sjælland,20-29,K,6695,3976
Sjælland,20-29,M,4735,2198
Sjælland,30-39,K,7153,6211
Sjælland,30-39,M,3768,3262
Sjælland,40-49,K,30614,10240
Sjælland,40-49,M,26197,3983
Sjælland,50-59,K,55181,12906
Sjælland,50-59,M,54552,5254
Sjælland,60-69,K,51449,28277
Sjælland,60-69,M,49675,24810
Sjælland,70-79,K,49454,47742
Sjælland,70-79,M,45313,43636
Sjælland,80-89,K,20921,20484
Sjælland,80-89,M,16100,15807
Sjælland,90+,K,4374,4289
Sjælland,90+,M,1883,1844
Syddanmark,0-9,K,1,1
Syddanmark,0-9,M,1,0
Syddanmark,10-19,K,8915,585
Syddanmark,10-19,M,8574,354
Syddanmark,20-29,K,10483,7537
Syddanmark,20-29,M,6573,4353
Syddanmark,30-39,K,10388,9456
Syddanmark,30-39,M,6095,5567
Syddanmark,40-49,K,32268,14194
Syddanmark,40-49,M,25847,6260
Syddanmark,50-59,K,73321,17630
Syddanmark,50-59,M,72288,7583
Syddanmark,60-69,K,71917,35763
Syddanmark,60-69,M,70305,30429
Syddanmark,70-79,K,65127,63287
Syddanmark,70-79,M,60283,58297
Syddanmark,80-89,K,31135,30629
Syddanmark,80-89,M,23686,23323
Syddanmark,90+,K,7145,6985
Syddanmark,90+,M,3078,3022
