"Kommunenavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
København,249716,120673,39.1,18.9,638981
Frederiksberg,49996,26480,48.5,25.7,102993
Ballerup,25662,13368,52.3,27.3,49046
Brøndby,17189,9354,48.5,26.4,35463
Dragør,8713,4580,59.8,31.4,14572
Gentofte,41926,21171,56.5,28.5,74236
Gladsaxe,33918,17308,49.2,25.1,68921
Glostrup,11731,6232,49.9,26.5,23498
Herlev,14564,7902,50.6,27.4,28803
Albertslund,12983,6889,47.9,25.4,27128
Hvidovre,26338,13774,49.4,25.9,53271
Høje Tåstrup,24694,12982,47.1,24.8,52401
Lyngby-Taarbæk,30483,15542,53.4,27.2,57077
Rødovre,20068,10566,48.7,25.6,41211
Ishøj,10128,5381,43.9,23.3,23048
Tårnby,22599,11404,52.9,26.7,42683
Vallensbæk,8167,4353,49.3,26.3,16561
Furesø,22774,11964,55.3,29.1,41164
Allerød,14812,7444,57.1,28.7,25919
Fredensborg,22899,12665,55.8,30.9,41029
Helsingør,36149,20482,57.3,32.4,63139
Hillerød,28284,14929,54.4,28.7,52017
Hørsholm,15186,8641,61.2,34.8,24798
Rudersdal,32509,16987,56.9,29.7,57130
Egedal,24315,11669,55.2,26.5,44049
Frederikssund,26889,14978,58.8,32.7,45764
Greve,25289,13120,49.9,25.9,50682
Køge,30989,15584,50.3,25.3,61609
Halsnæs,18553,11260,59.0,35.8,31454
Roskilde,44562,23253,50.1,26.2,88914
Solrød,11548,5774,49.2,24.6,23459
Gribskov,24902,14596,60.4,35.4,41207
Odsherred,20230,11613,61.4,35.2,32949
Holbæk,39591,20108,54.7,27.8,72366
Faxe,18987,9776,51.4,26.5,36956
Kalundborg,26333,14055,54.4,29.0,48393
Ringsted,16315,7990,46.6,22.8,35030
Slagelse,42351,22740,53.3,28.6,79527
Stevns,12466,6673,53.6,28.7,23267
Sorø,16270,8434,54.3,28.2,29952
Lejre,15352,8065,54.0,28.4,28443
Lolland,23218,12499,57.6,31.0,40322
Næstved,43489,22595,52.1,27.1,83443
Guldborgsund,35518,19233,58.8,31.8,60423
Vordingborg,25463,14011,56.2,30.9,45282
Bornholm,25925,14306,65.2,36.0,39791
Middelfart,20094,11452,51.0,29.1,39404
Assens,20642,12050,50.6,29.5,40825
Faaborg-Midtfyn,26569,15473,51.3,29.9,51743
Kerteminde,12528,7458,52.5,31.2,23871
Nyborg,15940,9340,49.7,29.1,32044
Odense,87173,52702,42.6,25.7,204840
Svendborg,30541,18415,51.9,31.3,58864
Nordfyn,14665,8668,49.6,29.3,29573
Langeland,7170,4535,58.1,36.7,12343
Ærø,3586,2256,59.7,37.6,6007
Haderslev,25548,13254,46.1,23.9,55417
Billund,12529,6677,47.2,25.2,26540
Sønderborg,38900,18637,52.8,25.3,73713
Tønder,18014,9042,48.7,24.4,36998
Esbjerg,60157,31107,52.1,26.9,115517
Fanø,2201,1339,63.9,38.9,3446
Varde,26510,13899,53.3,28.0,49696
Vejen,19455,10469,45.5,24.5,42797
Aabenraa,28837,14141,49.3,24.2,58545
Fredericia,23701,13588,46.0,26.4,51478
Horsens,40844,22502,43.9,24.2,93031
Kolding,40388,21828,43.4,23.5,93054
Vejle,52282,28925,44.3,24.5,117912
Herning,42130,23965,47.2,26.8,89332
Holstebro,27813,17152,47.5,29.3,58614
Lemvig,11308,6476,57.9,33.2,19515
Struer,11647,6943,55.9,33.3,20819
Syddjurs,23375,13017,53.8,29.9,43471
Norddjurs,19971,11300,54.0,30.6,36974
Favrskov,23578,12277,48.5,25.3,48613
Odder,12261,6808,53.2,29.6,23037
Randers,45998,25669,46.7,26.1,98501
Silkeborg,45867,25096,47.6,26.1,96297
Samsø,2335,1475,63.1,39.9,3700
Skanderborg,30403,15776,47.7,24.7,63764
Århus,140175,80158,39.8,22.7,352453
Ikast-Brande,19945,10920,47.8,26.2,41738
Ringkøbing-Skjern,29023,16747,51.6,29.8,56276
Hedensted,22829,12592,48.6,26.8,46963
Morsø,10530,6611,52.5,32.9,20066
Skive,23936,14598,52.9,32.3,45262
Thisted,23329,12619,54.1,29.3,43125
Viborg,47137,27437,48.8,28.4,96643
Brønderslev,17099,9469,47.4,26.2,36087
Frederikshavn,32572,18341,55.2,31.1,58979
Vesthimmerland,19036,10878,52.4,29.9,36357
Læsø,1414,842,79.3,47.3,1782
Rebild,14223,7658,46.6,25.1,30521
Mariagerfjord,22056,11710,53.1,28.2,41535
Jammerbugt,18655,11313,48.8,29.6,38206
Aalborg,89194,54179,40.6,24.7,219547
Hjørring,32080,19029,50.1,29.7,64032
