"Kommunenavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
København,249716,120673,638981
Frederiksberg,49996,26480,102993
Ballerup,25662,13368,49046
Brøndby,17189,9354,35463
Dragør,8713,4580,14572
Gentofte,41926,21171,74236
Gladsaxe,33918,17308,68921
Glostrup,11731,6232,23498
Herlev,14564,7902,28803
Albertslund,12983,6889,27128
Hvidovre,26338,13774,53271
Høje-Taastrup,24694,12982,52401
Lyngby-Taarbæk,30483,15542,57077
Rødovre,20068,10566,41211
Ishøj,10128,5381,23048
Tårnby,22599,11404,42683
Vallensbæk,8167,4353,16561
Furesø,22774,11964,41164
Allerød,14812,7444,25919
Fredensborg,22899,12665,41029
Helsingør,36149,20482,63139
Hillerød,28284,14929,52017
Hørsholm,15186,8641,24798
Rudersdal,32509,16987,57130
Egedal,24315,11669,44049
Frederikssund,26889,14978,45764
Greve,25289,13120,50682
Køge,30989,15584,61609
Frederiksværk-Hundested,18553,11260,31454
Roskilde,44562,23253,88914
Solrød,11548,5774,23459
Gribskov,24902,14596,41207
Odsherred,20230,11613,32949
Holbæk,39591,20108,72366
Faxe,18987,9776,36956
Kalundborg,26333,14055,48393
Ringsted,16315,7990,35030
Slagelse,42351,22740,79527
Stevns,12466,6673,23267
Sorø,16270,8434,29952
Lejre,15352,8065,28443
Lolland,23218,12499,40322
Næstved,43489,22595,83443
Guldborgsund,35518,19233,60423
Vordingborg,25463,14011,45282
Bornholm,25925,14306,39791
Middelfart,20094,11452,39404
Assens,20642,12050,40825
Faaborg-Midtfyn,26569,15473,51743
Kerteminde,12528,7458,23871
Nyborg,15940,9340,32044
Odense,87173,52702,204840
Svendborg,30541,18415,58864
Nordfyns,14665,8668,29573
Langeland,7170,4535,12343
Ærø,3586,2256,6007
Haderslev,25548,13254,55417
Billund,12529,6677,26540
Sønderborg,38900,18637,73713
Tønder,18014,9042,36998
Esbjerg,60157,31107,115517
Fanø,2201,1339,3446
Varde,26510,13899,49696
Vejen,19455,10469,42797
Aabenraa,28837,14141,58545
Fredericia,23701,13588,51478
Horsens,40844,22502,93031
Kolding,40388,21828,93054
Vejle,52282,28925,117912
Herning,42130,23965,89332
Holstebro,27813,17152,58614
Lemvig,11308,6476,19515
Struer,11647,6943,20819
Syddjurs,23375,13017,43471
Norddjurs,19971,11300,36974
Favrskov,23578,12277,48613
Odder,12261,6808,23037
Randers,45998,25669,98501
Silkeborg,45867,25096,96297
Samsø,2335,1475,3700
Skanderborg,30403,15776,63764
Århus,140175,80158,352453
Ikast-Brande,19945,10920,41738
Ringkøbing-Skjern,29023,16747,56276
Hedensted,22829,12592,46963
Morsø,10530,6611,20066
Skive,23936,14598,45262
Thisted,23329,12619,43125
Viborg,47137,27437,96643
Brønderslev-Dronninglund,17099,9469,36087
Frederikshavn,32572,18341,58979
Vesthimmerlands,19036,10878,36357
Læsø,1414,842,1782
Rebild,14223,7658,30521
Mariagerfjord,22056,11710,41535
Jammerbugt,18655,11313,38206
Ålborg,89194,54179,219547
Hjørring,32080,19029,64032
